営業者氏名,郵便番号,営業所所在地,営業所所在地ビル名,営業所電話番号,屋号,業種,業態,指令番号県記号,指令番号発令記号,指令番号（許可番号）,許可終了日,許可・交付日,初年度許可・交付日
アサヒビール　株式会社,812-0895,福岡市博多区竹下三丁目１番１号,,092-431-1131,アサヒビール株式会社博多工場,清涼飲料水製造業,一般,福,博保衛,32610001,2027/6/30,2021/4/16,2021/4/16
,810-0042,福岡市中央区赤坂三丁目４番３４号,安達ビル２Ｆ,,Ｒｉ　ｊｏｉｅ,飲食店営業,主として喫茶,福,中保衛,32011008,2027/6/30,2021/4/16,2021/4/16
有限会社シェイク,810-0011,福岡市中央区高砂一丁目５番６号,ニュー高砂１Ｆ,092-524-2822,大人酒場　それなり,飲食店営業,一般食堂,福,中保衛,33010032,2027/6/30,2021/4/16,2021/4/16
ヨシミホールディングス株式会社,810-0044,福岡市中央区六本松三丁目１番５８号,リード桜坂１０１・１０２,,ＫＡＫＡ　桜坂,菓子製造業,一般,福,中保衛,32050149,2027/6/30,2021/4/16,2021/4/16
ヨシミホールディングス株式会社,810-0044,福岡市中央区六本松三丁目１番５８号,リード桜坂１０１・１０２,,ＫＡＫＡ　桜坂,飲食店営業,主として喫茶,福,中保衛,32010946,2027/6/30,2021/4/16,2021/4/16
,815-0075,福岡市南区長丘二丁目６番１４号,,,Ｌａ　ｖｉｅ　ｌａｂ　ＲＥＬＩＥＲ,飲食店営業,一般食堂,福,南保衛,33010009,2027/6/30,2021/4/16,2021/4/16
,815-0075,福岡市南区長丘二丁目６番１４号,,,Ｌａ　ｖｉｅ　ｌａｂ　ＲＥＬＩＥＲ,そうざい製造業,なし,福,南保衛,33570001,2027/6/30,2021/4/16,2021/4/16
,814-0123,福岡市城南区長尾一丁目１３番２６号,,092-834-9995,菓子創造　パマリデ,菓子製造業,一般,福,城保衛,33050001,2027/6/30,2021/4/16,2021/4/16
合同会社メラキ,814-0006,福岡市早良区百道一丁目１８番１６号,,,Ｋｉｔｓｕｎｅ　ｎｏ　Ｍｏｒｉ,飲食店営業,一般食堂,福,早保衛,33010006,2027/6/30,2021/4/16,2021/4/16
株式会社西日本食研,819-0032,福岡市西区戸切三丁目２３番１号,,,（株）西日本食研,飲食店営業,一般食堂,福,西保衛,33010004,2027/6/30,2021/4/16,2021/4/16
株式会社大分からあげ,813-0044,福岡市東区千早三丁目６番３７号,ガーデンズ千早１Ｆ,,ポッポおじさんの塩からあげ 千早店,飲食店営業,そうざい,福,東保衛,32010179,2027/6/30,2021/4/19,2021/4/19
,813-0062,福岡市東区松島四丁目５番３５号,,092-624-2318,ファミリーマート福岡松島四丁目店,飲食店営業,一般食堂,福,東保衛,33010003,2027/6/30,2021/4/19,2021/4/19
株式会社オールドニュー,813-0044,福岡市東区千早三丁目6番37号,ガーデンズ千早1Ｆ,,やおや植木商店,飲食店営業,一般食堂,福,東保衛,32010224,2027/6/30,2021/4/19,2021/4/19
,812-0053,福岡市東区箱崎三丁目９番２１号,パークビレッジ１Ｆ,,ＴＨＥ　ｔｉｃ,飲食店営業,一般食堂,福,東保衛,33010013,2027/6/30,2021/4/19,2021/4/19
,,福岡市内一円,,,ｉｎ　ｔｈｅ　ｐｉｎｋ,飲食店営業,移動Ｂ,福,東保衛,33010015,2026/6/30,2021/4/19,2021/4/19
株式会社　ＭＥＡＴ　ＰＬＵＳ,812-0893,福岡市博多区那珂四丁目１７番１号,,092-710-4163,ミートプラス,飲食店営業,弁当屋,福,博保衛,32010774,2027/6/30,2021/4/19,2021/4/19
,812-0044,福岡市博多区千代三丁目１７番４－１０６号,市営新博多住宅　４棟　１５６号,,都,飲食店営業,すし屋,福,博保衛,33010058,2027/6/30,2021/4/19,2021/4/19
株式会社　ｃｏｎｎｅｃｔ,812-0035,福岡市博多区中呉服町３番２９号,グローリー呉服町　２Ｆ,092-263-5222,鷹鷹,飲食店営業,一般食堂,福,博保衛,33010034,2027/6/30,2021/4/19,2021/4/19
株式会社　ｄｏｕｂｌｅ,812-0012,福岡市博多区博多駅中央街５番２１号,Ｎビル　３Ｆ,,とろーりチーズ×韓国　韓美,飲食店営業,一般食堂,福,博保衛,33010052,2027/6/30,2021/4/19,2021/4/19
株式会社　ｄｏｕｂｌｅ,812-0012,福岡市博多区博多駅中央街５番２１号,Ｎビル　４Ｆ,,韓美博多店,飲食店営業,一般食堂,福,博保衛,33010053,2027/6/30,2021/4/19,2021/4/19
,812-0011,福岡市博多区博多駅前四丁目２４番１０号,松崎ビル　３Ｆ,092-483-1234,Ｃｏｒｋ　Ｍｏｏｎ,飲食店営業,バー,福,博保衛,33010045,2027/6/30,2021/4/19,2021/4/19
合同会社ハーベイ,810-0041,福岡市中央区大名一丁目４番２８号,２Ｆ,,ＨＡＣＣＡ,飲食店営業,バー,福,中保衛,32011005,2027/6/30,2021/4/19,2021/4/19
立花産業有限会社,810-0033,福岡市中央区小笹五丁目４番６号,,092-753-8966,あま太郎　作業場,めん類製造業,生めん,福,中保衛,32550008,2027/6/30,2021/4/19,2021/4/19
株式会社ＢｅｓｏｓＡｌｍｕｎｄｏ,810-0075,福岡市中央区港二丁目３番１７号,,092-406-5750,ＧＡＭＢＡ,飲食店営業,一般食堂,福,中保衛,33010018,2027/6/30,2021/4/19,2021/4/19
浩大株式会社,810-0003,福岡市中央区春吉三丁目１６番４１号,ＲＡＧＡＺＺＡ春吉１－Ａ,,雪花,飲食店営業,一般食堂,福,中保衛,33010061,2027/6/30,2021/4/19,2021/4/19
,,福岡市内一円,,,Ａｒｉａ,飲食店営業,仮設(仮設営業),福,南保衛,33670001,2026/6/30,2021/4/19,2021/4/19
株式会社快適空間創造研究所,814-0002,福岡市早良区西新五丁目１番１９号,,092-407-2213,大阪王将西新店,飲食店営業,一般食堂,福,早保衛,33010003,2027/6/30,2021/4/19,2021/4/19
株式会社快適空間創造研究所,814-0002,福岡市早良区西新五丁目１番１９号　２Ｆ,,092-407-5120,よかたい西新店,飲食店営業,一般食堂,福,早保衛,33010004,2027/6/30,2021/4/19,2021/4/19
株式会社マリゾンＰＷＣ,814-0001,福岡市早良区百道浜二丁目９０２－１,,092-845-6636,ＴＨＥ　ＢＥＡＣＨ,食肉販売業,一般,福,早保衛,32330024,2027/6/30,2021/4/19,2021/4/19
株式会社プライム福岡,814-0002,福岡市早良区西新四丁目１番１号,ブリリアタワー　１Ｆ,092-834-8006,博多水炊き・鶏すき鍋　西新初喜　プラリバ店,飲食店営業,一般食堂,福,早保衛,33010011,2027/6/30,2021/4/19,2021/4/19
,819-0054,福岡市西区上山門一丁目５番２４号,,,Ｐｕｄｄｉｎｇ　Ｌａｂｏ,菓子製造業,一般,福,西保衛,33050002,2027/6/30,2021/4/19,2021/4/19
,,福岡市内一円,,,渡邉商会,飲食店営業,仮設(仮設営業),福,東保衛,33670013,2026/6/30,2021/4/20,2021/4/20
,,福岡市内一円,,,渡邉商会,飲食店営業,仮設(仮設営業),福,東保衛,33670011,2026/6/30,2021/4/20,2021/4/20
,,福岡市内一円,,,渡邉商会,飲食店営業,仮設(仮設営業),福,東保衛,33670012,2026/6/30,2021/4/20,2021/4/20
,,福岡市内一円,,,渡邉商会,飲食店営業,仮設(仮設営業),福,東保衛,33670014,2026/6/30,2021/4/20,2021/4/20
,,福岡市内一円,,,渡邉商会,飲食店営業,仮設(仮設営業),福,東保衛,33670015,2026/6/30,2021/4/20,2021/4/20
,,福岡市内一円,,,尾崎商会,飲食店営業,仮設(仮設営業),福,東保衛,33670002,2026/6/30,2021/4/20,2021/4/20
,,福岡市内一円,,,尾崎商会,飲食店営業,仮設(仮設営業),福,東保衛,33670003,2026/6/30,2021/4/20,2021/4/20
,,福岡市内一円,,,尾崎商会,飲食店営業,仮設(仮設営業),福,東保衛,33670004,2026/6/30,2021/4/20,2021/4/20
,,福岡市内一円,,,とり唐さんわキッチンカー,飲食店営業,移動Ａ,福,東保衛,33010020,2026/6/30,2021/4/20,2021/4/20
,,福岡市内一円,,,新原イベント企画,飲食店営業,仮設(仮設営業),福,東保衛,33670006,2026/6/30,2021/4/20,2021/4/20
,,福岡市内一円,,,新原イベント企画,飲食店営業,仮設(仮設営業),福,東保衛,33670007,2026/6/30,2021/4/20,2021/4/20
,,福岡市内一円,,,コウユウ企画,飲食店営業,仮設(仮設営業),福,東保衛,33670008,2026/6/30,2021/4/20,2021/4/20
,,福岡市内一円,,,コウユウ企画,飲食店営業,仮設(仮設営業),福,東保衛,33670009,2026/6/30,2021/4/20,2021/4/20
,,福岡市内一円,,,松井商店,飲食店営業,仮設(仮設営業),福,東保衛,33670010,2026/6/30,2021/4/20,2021/4/20
,,福岡市内一円,,,新原商店,飲食店営業,仮設(仮設営業),福,東保衛,33670005,2026/6/30,2021/4/20,2021/4/20
,810-0801,福岡市博多区中洲四丁目１番１０号,第２きよたけビル　２階　Ｂ室,,ＢＡＳＥ．１,飲食店営業,バー,福,博保衛,32010797,2027/6/30,2021/4/20,2021/4/20
,810-0802,福岡市博多区中洲中島町１番地先,,,とん吉,飲食店営業,ろ店(定置屋台),福,博保衛,33030001,2026/6/30,2021/4/20,2021/4/20
株式会社　Ｙ２Ｋインダストリー,810-0801,福岡市博多区中洲四丁目１番２５号,,,エイト,飲食店営業,一般食堂,福,博保衛,33010067,2027/6/30,2021/4/20,2021/4/20
株式会社　ｄｏｕｂｌｅ,812-0012,福岡市博多区博多駅中央街５番２１号,Ｎビル　５Ｆ,,ごま鯖と明太　もつ鍋一利　博多本店,飲食店営業,一般食堂,福,博保衛,33010054,2027/6/30,2021/4/20,2021/4/20
,810-0001,福岡市中央区天神三丁目４番１７号,天神ウイングビルⅠ　３Ｆ,,Ｂａｒ　Ｆａｍｉｌｉａ,飲食店営業,バー,福,中保衛,33010063,2027/6/30,2021/4/20,2021/4/20
,,福岡市内一円,,,ＳｏｅＬ＆Ｐａｇｅ,飲食店営業,仮設(仮設営業),福,中保衛,33670001,2026/6/30,2021/4/20,2021/4/20
,815-0082,福岡市南区大楠二丁目１３番７号,,092-522-1726,餃子専門店黒兵衛,食品の冷凍又は冷蔵業,なし,福,南保衛,32190008,2027/6/30,2021/4/20,2021/4/20
,815-0082,福岡市南区大楠二丁目１３番７号,,092-522-1726,餃子専門店黒兵衛,飲食店営業,そうざい,福,南保衛,32010183,2027/6/30,2021/4/20,2021/4/20
,819-0161,福岡市西区今宿東一丁目２番１号,,092-982-6247,梅翠,そうざい製造業,なし,福,西保衛,33570002,2027/6/30,2021/4/20,2021/4/20
,,福岡市内一円,,,ｎｏ　ｂｏｄｙ,飲食店営業,仮設(仮設営業),福,東保衛,33670019,2026/6/30,2021/4/21,2021/4/21
,,福岡市内一円,,,ｃｉｔｒｏｎ ｍａｒｃｈｅ,飲食店営業,仮設(仮設営業),福,東保衛,33670018,2026/6/30,2021/4/21,2021/4/21
,,福岡市内一円,,,原企画,飲食店営業,仮設(仮設営業),福,東保衛,33670017,2026/6/30,2021/4/21,2021/4/21
,,福岡市内一円,,,木戸商店,飲食店営業,仮設(仮設営業),福,東保衛,33670016,2026/6/30,2021/4/21,2021/4/21
,813-0044,福岡市東区千早三丁目６番３７号,ガーデンズ千早１Ｆ,,Ｆｒａｉｔ,菓子製造業,一般,福,東保衛,33050003,2027/6/30,2021/4/21,2021/4/21
エスタ株式会社,813-0044,福岡市東区千早三丁目６番３７号,,092-661-6110,スポーツクラブエスタクオリア千早,喫茶店営業,自動販売機,福,東保衛,32230016,2027/6/30,2021/4/21,2021/4/21
,812-0018,福岡市博多区住吉五丁目８番３号,,092-482-8787,山月,飲食店営業,一般食堂,福,博保衛,33010051,2027/6/30,2021/4/21,2021/4/21
ＫＩ　株式会社,812-0039,福岡市博多区冷泉町９番１６号,,,ウリシクタン,飲食店営業,一般食堂,福,博保衛,32010793,2027/6/30,2021/4/21,2021/4/21
株式会社　フルラッキーコーポレーション,812-0016,福岡市博多区博多駅南一丁目８番３６号,シティー１５ビル　１Ｆ,,カレーハウスＣｏＣｏ壱番屋　博多駅南店,飲食店営業,一般食堂,福,博保衛,32010711,2027/6/30,2021/4/21,2021/4/21
,,福岡市内一円,,,ｈａｎａ　ｃａｆｅ,飲食店営業,移動Ｂ,福,博保衛,33010074,2026/6/30,2021/4/21,2021/4/21
,812-0884,福岡市博多区寿町三丁目３番２２号,遊ＹＯＵ館　３Ｆ　Ｃ号室,,BEET,飲食店営業,バー,福,博保衛,33010066,2027/6/30,2021/4/21,2021/4/21
,810-0011,福岡市中央区高砂二丁目９番５号,,092-522-6565,千束,飲食店営業,一般食堂,福,中保衛,33020001,2027/6/30,2021/4/21,1997/6/5
,810-0011,福岡市中央区高砂二丁目９番５号,,092-522-6565,千束,そうざい製造業,なし,福,中保衛,33580001,2027/6/30,2021/4/21,1997/6/5
,810-0002,福岡市中央区西中洲３番１５号,ベイヒルコートビル２Ｆ　２１０号室,,来礼,飲食店営業,一般食堂,福,中保衛,33010068,2027/6/30,2021/4/21,2021/4/21
株式会社ＫＡＮＡＭＥ,815-0041,福岡市南区野間一丁目１０番７号,１Ｆ,092-557-8833,（株）ＫＡＮＡＭＥ,食品の冷凍又は冷蔵業,なし,福,南保衛,32190007,2027/6/30,2021/4/21,2021/4/21
株式会社ＫＡＮＡＭＥ,815-0041,福岡市南区野間一丁目１０番７号,１Ｆ,092-557-8833,（株）ＫＡＮＡＭＥ,魚介類販売業,一般,福,南保衛,32130020,2027/6/30,2021/4/21,2021/4/21
株式会社ミールマックス,815-0041,福岡市南区野間四丁目９番３０号,,092-552-1507,ミールアソシエ野間,飲食店営業,一般食堂,福,南保衛,33010012,2027/6/30,2021/4/21,2021/4/21
,814-0141,福岡市城南区西片江一丁目１３番２３号,,092-801-7810,るーぷ,飲食店営業,一般食堂,福,城保衛,33010007,2027/6/30,2021/4/21,2021/4/21
ｂｌｕｅ　ｆｌａｇ合同会社,814-0002,福岡市早良区西新四丁目８番１９号　２Ｆ,,092-847-3550,ＢＲＵＴＵＳ,飲食店営業,一般食堂,福,早保衛,33010013,2027/6/30,2021/4/21,2021/4/21
有限会社肉の山本,819-0051,福岡市西区下山門団地４０番２号,,092-881-6874,肉の山本,飲食店営業,そうざい,福,西保衛,33010001,2027/6/30,2021/4/21,2021/4/21
Ｓｅｏｌｔ Ｆｒａｎｔｉｃ合同会社,811-0213,福岡市東区和白丘一丁目２番２号,,092-608-8855,肉屋の本格焼肉 和平 和白店,飲食店営業,一般食堂,福,東保衛,33010016,2027/6/30,2021/4/22,2021/4/22
Ｊｕｎｃｔｉｏｎ　Ｃｏｆｆｅｅ株式会社,813-0024,福岡市東区名子三丁目２番３６号,,092-202-1100,ガーデンカフェＮａｎの木,飲食店営業,一般食堂,福,東保衛,33010027,2027/6/30,2021/4/22,2021/4/22
,,福岡市内一円,,,Ｆｏｏｄ Ｈｏｕｓｅ,飲食店営業,仮設(仮設営業),福,東保衛,33670020,2026/6/30,2021/4/22,2021/4/22
株式会社Ｒ・Ｒｅｓｏｒｔ,812-0053,福岡市東区箱崎六丁目１８番１２号,,092-645-2080,玄貝灘,飲食店営業,一般食堂,福,東保衛,33010025,2027/6/30,2021/4/22,2021/4/22
株式会社Ｒ・Ｒｅｓｏｒｔ,812-0053,福岡市東区箱崎六丁目１８番１２号,,092-645-2080,路地裏カフェ,飲食店営業,一般食堂,福,東保衛,33010026,2027/6/30,2021/4/22,2021/4/22
ＧＡＮＤＩ　株式会社,810-0801,福岡市博多区中洲二丁目４番２０号,第２１ポールスタービル　２階　２０２号,092-292-5511,ＢＡＲ　ＬＯＵＮＧＥ　Ｈｅｉ　Ｈｅｉ,飲食店営業,バー,福,博保衛,33010079,2027/6/30,2021/4/22,2021/4/22
,812-0885,福岡市博多区相生町三丁目２番３４号,サンラインビル　４Ｆ,,ＲＥＸ,飲食店営業,バー,福,博保衛,33010071,2027/6/30,2021/4/22,2021/4/22
,810-0801,福岡市博多区中洲四丁目２番１６号,ＲＢコアビル　２階　Ｂ号室,092-262-0340,ＭＧＮ,飲食店営業,バー,福,博保衛,33010070,2027/6/30,2021/4/22,2021/4/22
楽研サロン　株式会社,812-0026,福岡市博多区上川端町９番３５号,冷泉荘　３Ｆ　Ａ３３,,楽研サロン,飲食店営業,バー,福,博保衛,33010041,2027/6/30,2021/4/22,2021/4/22
,812-0016,福岡市博多区博多駅南一丁目７番１４号,ボイス博多　２Ｆ,,Ｆｉｒｓｔ,飲食店営業,一般食堂,福,博保衛,33010073,2027/6/30,2021/4/22,2021/4/22
有限会社　西原製餡所,810-0053,福岡市中央区鳥飼三丁目１５番２号,,092-751-2379,有限会社　西原製餡所,あん類製造業,なし,福,中保衛,33260001,2027/6/30,2021/4/22,1987/5/7
,,福岡市内一円,,,吉笑家,飲食店営業,仮設(仮設営業),福,中保衛,33680001,2026/6/30,2021/4/22,2016/4/26
リンクフォート株式会社,810-0042,福岡市中央区赤坂一丁目１１番１７号,赤坂ウィングアネックス　５Ｆ,092-741-4600,レディバード,飲食店営業,バー,福,中保衛,33020004,2027/6/30,2021/4/22,2009/5/15
株式会社レインボーカラー,810-0001,福岡市中央区天神二丁目８番２２号,ウエストサイド天神　８Ｆ,092-732-9712,ふとっぱら天神総本店,飲食店営業,一般食堂,福,中保衛,33020002,2027/6/30,2021/4/22,2009/4/30
株式会社ＬＩＢＲＯＭ,810-0011,福岡市中央区高砂一丁目２１番２７号,ボンフル高砂１０３,,ＬＩＢＲＯＭ　Ｃｒａｆｔ　Ｓａｋｅ　Ｂｒｅｗｅｒｙ,飲食店営業,一般食堂,福,中保衛,32010807,2027/6/30,2021/4/22,2021/4/22
,810-0054,福岡市中央区今川一丁目３番１５号,サンコート秋穂１０１,,ＧＮＵ　ＣＯＦＦＥＥ,飲食店営業,一般食堂,福,中保衛,33010065,2027/6/30,2021/4/22,2021/4/22
,810-0012,福岡市中央区白金一丁目１０番１２号,ＫＡＤＯＮＯビル１Ｆ,,ＲＯＡＭ,飲食店営業,バー,福,中保衛,33010067,2027/6/30,2021/4/22,2021/4/22
,810-0023,福岡市中央区警固二丁目１７番２５号,ケヤキビル２Ｆ,,Ｂａｒ　Ｓ,飲食店営業,バー,福,中保衛,33010059,2027/6/30,2021/4/22,2021/4/22
株式会社ｏｆｆｉｃｅ　ｎｉｎｅ,810-0021,福岡市中央区今泉一丁目１１番７号,ＫＹビル３Ｆ,092-732-5868,もつ鍋　こうづき　今泉店,食肉販売業,一般,福,中保衛,33330004,2027/6/30,2021/4/22,2021/4/22
,810-0073,福岡市中央区舞鶴三丁目１番１号,,092-781-1094,天安,飲食店営業,一般食堂,福,中保衛,33020003,2027/6/30,2021/4/22,1966/6/16
株式会社紫京,810-0004,福岡市中央区渡辺通二丁目２番１７号,御手洗ビル１Ｆ,,博多天神南薬院渡辺通店　焼鳥　ななし　めん基地,飲食店営業,一般食堂,福,中保衛,33010058,2027/6/30,2021/4/22,2021/4/22
ホテルモントレ株式会社,810-0041,福岡市中央区大名二丁目８番２７号,２Ｆ,092-726-7111,宴会場,飲食店営業,旅館,福,中保衛,33020005,2027/6/30,2021/4/22,2003/5/16
株式会社たけちゃん,810-0075,福岡市中央区港二丁目７番１６号,レスベデザ大濠１０１,092-751-2929,馬刺し専門店　たけちゃん,飲食店営業,一般食堂,福,中保衛,33010060,2027/6/30,2021/4/22,2021/4/22
,810-0075,福岡市中央区港二丁目７番１９号,田中ビル１階,,港酒場　五ろく,飲食店営業,一般食堂,福,中保衛,33010062,2027/6/30,2021/4/22,2021/4/22
株式会社オリエンタルフードサービス,815-0071,福岡市南区平和二丁目１６番３号,,092-521-5829,長崎阿蘭陀珈琲館,飲食店営業,一般食堂,福,南保衛,33010013,2027/6/30,2021/4/22,2021/4/22
株式会社サンマート,815-0083,福岡市南区高宮一丁目３番２５号,,092-531-8383,ちぃーずキッチン,飲食店営業,弁当屋,福,南保衛,33010015,2027/6/30,2021/4/22,2021/4/22
,,福岡市内一円,,092-404-0882,Ｄｉｎｉｎｇ匠,菓子製造業,仮設(仮設営業),福,南保衛,33710001,2026/6/30,2021/4/22,2021/4/22
,815-0033,福岡市南区大橋一丁目２１番９号,宗雲ビル,,Ｌｉｖｅｓ　Ｂａｋｅｒｙ,菓子製造業,一般,福,南保衛,33050002,2027/6/30,2021/4/22,2021/4/22
,811-0322,福岡市東区大岳四丁目３番１号,２Ｆ,092-692-4524,ＣＡＦＥ ＹＵＫＩＨＡＮＡ,飲食店営業,一般食堂,福,東保衛,33010024,2027/6/30,2021/4/23,2021/4/23
,,福岡市内一円,,,Ｇａｎｇ　ｍｅｅｔ,飲食店営業,移動Ａ,福,東保衛,33010031,2026/6/30,2021/4/23,2021/4/23
,813-0032,福岡市東区土井一丁目２番５号,大槻アパート１号,092-600-9480,長浜らーめん　いのいち,飲食店営業,一般食堂,福,東保衛,33010011,2027/6/30,2021/4/23,2021/4/23
株式会社 はまや,812-0054,福岡市東区馬出四丁目１番１号,,092-631-1287,セブンイレブン福岡馬出４丁目店,飲食店営業,一般食堂,福,東保衛,32010241,2027/6/30,2021/4/23,2021/4/23
,810-0801,福岡市博多区中洲三丁目５番６号,三信ビル　５階,,Ｌａｕｇｈ　×　Ｔａｌｅ,飲食店営業,バー,福,博保衛,32010728,2027/6/30,2021/4/23,2021/4/23
,812-0013,福岡市博多区博多駅東二丁目３番２９号,東福博多駅東ビル　３Ｆ,,ＢＡＲ　Ｍｉｘ　１,飲食店営業,バー,福,博保衛,32010739,2027/6/30,2021/4/23,2021/4/23
,810-0003,福岡市中央区春吉一丁目６番１４号,,092-741-7897,やきとり　ぜんき,飲食店営業,一般食堂,福,中保衛,33020008,2027/6/30,2021/4/23,2009/4/2
,810-0074,福岡市中央区大手門一丁目２番１９号,,092-712-1788,しばらく,飲食店営業,一般食堂,福,中保衛,33020006,2027/6/30,2021/4/23,2009/6/30
,810-0004,福岡市中央区渡辺通二丁目３番８号,カステリアマンション１階,092-713-6990,さつま珍味　隆盛,飲食店営業,一般食堂,福,中保衛,33020012,2027/6/30,2021/4/23,1985/6/7
,810-0004,福岡市中央区渡辺通五丁目１４番２５号,深町ビル１Ｆ,,めでた屋,飲食店営業,一般食堂,福,中保衛,33020010,2027/6/30,2021/4/23,2003/4/9
,810-0004,福岡市中央区渡辺通二丁目７番１１号,ＭＴ－１１薬院ビル２Ｆ,092-716-2762,酒小屋　ばっぢ,飲食店営業,一般食堂,福,中保衛,33020009,2027/6/30,2021/4/23,2015/5/22
,810-0004,福岡市中央区渡辺通五丁目１５番４号,,092-711-7711,鮨田可尾,飲食店営業,すし屋,福,中保衛,33020007,2027/6/30,2021/4/23,1997/4/15
株式会社ＳＴＥＰＳ,810-0003,福岡市中央区春吉二丁目４番１１号,リヴィエールシャン　３階３１４号室,092-791-9624,ＢＡＲ　ＲＡＢⅡ,飲食店営業,バー,福,中保衛,33010070,2027/6/30,2021/4/23,2021/4/23
株式会社リュウセイ,810-0071,福岡市中央区那の津五丁目４番１９号,２Ｆ,,（株）リュウセイ,食肉販売業,一般,福,中保衛,33330003,2027/6/30,2021/4/23,2021/4/23
,810-0075,福岡市中央区港二丁目７番１１号,ＭＥＤＩＡ　ＰＲＩＣＥ第２ビル１Ｆ,092-732-7525,パイラ　レストラン　＆　バー,飲食店営業,一般食堂,福,中保衛,33010050,2027/6/30,2021/4/23,2021/4/23
,810-0044,福岡市中央区六本松三丁目９番７号,,092-715-1850,麺と酒ざきお,飲食店営業,一般食堂,福,中保衛,33020011,2027/6/30,2021/4/23,2015/6/2
株式会社弥榮,810-0023,福岡市中央区警固二丁目２番１号,ルピエレジデンス赤坂南１０１号,092-753-7587,天ぷらたなか,飲食店営業,一般食堂,福,中保衛,33010023,2027/6/30,2021/4/23,2021/4/23
,815-0082,福岡市南区大楠三丁目７番２６号,あさだ荘１号,,なんやかんや,飲食店営業,一般食堂,福,南保衛,33010016,2027/6/30,2021/4/23,2021/4/23
ＶＩＮＡＹＡＫＡ株式会社,815-0035,福岡市南区向野一丁目４番２号,,,ビナヤカ　ネパール＆インドレストラン,飲食店営業,一般食堂,福,南保衛,33010014,2027/6/30,2021/4/23,2021/4/23
ポケットフーズ株式会社,814-0015,福岡市早良区室見四丁目１９番７号,ローズマンションⅡ,092-847-5454,ピザポケット室見店,飲食店営業,仕出し,福,早保衛,33010010,2027/6/30,2021/4/23,2021/4/23
,,福岡市内一円,,,お菓子屋さんの手作ジェラート　よしなが,喫茶店営業,仮設(仮設営業),福,西保衛,33690001,2026/6/30,2021/4/23,2021/4/23
株式会社アートブラウン,,福岡市内一円,,,クラブ　ホットドック　トラック,飲食店営業,移動Ｂ,福,西保衛,33010008,2026/6/30,2021/4/23,2021/4/23
,813-0035,福岡市東区松崎四丁目４０番２８号,１Ｆ,,ラメルノラメル,飲食店営業,一般食堂,福,東保衛,33010030,2027/6/30,2021/4/26,2021/4/26
株式会社ＳＯＵＬＰＬＡＮＥＴ,813-0017,福岡市東区香椎照葉六丁目６番６号,アイランド・アイ,092-719-1203,ＤＲＥＡＭ　ＤＯＯＲ　ＦＵＫＵＯＫＡ　ＯＮ　ＴＨＥ　ＢＥＡＣＨ,飲食店営業,一般食堂,福,東保衛,33010022,2027/6/30,2021/4/26,2021/4/26
,813-0013,福岡市東区香椎駅前一丁目１２番３号,フォレストタウン香椎５Ｆ,,酒楽菜～芳～,飲食店営業,一般食堂,福,東保衛,32010234,2027/6/30,2021/4/26,2021/4/26
株式会社ラムラスジェイ,813-0013,福岡市東区香椎駅前一丁目１２番３号,フォレストタウン２Ｆ,,鶏焼・麺処　すずらん香椎駅前,飲食店営業,一般食堂,福,東保衛,32010218,2027/6/30,2021/4/26,2021/4/26
,,福岡市内一円,,,博多 からあき,飲食店営業,移動Ｂ,福,東保衛,33010032,2026/6/30,2021/4/26,2021/4/26
,813-0004,福岡市東区松香台二丁目６番１号,,,ＩＴＴＯＫＯ,飲食店営業,一般食堂,福,東保衛,33010023,2027/6/30,2021/4/26,2021/4/26
ＦＵＴＡＥＤＡ　株式会社,812-0025,福岡市博多区店屋町６番３号,ホテルグレートモーニング博多　１Ｆ,092-272-1414,ホテルグレートモーニング博多,飲食店営業,旅館,福,博保衛,33010068,2027/6/30,2021/4/26,2021/4/26
,812-0037,福岡市博多区御供所町１２番２号,本山ビル　１Ｆ,092-984-0721,Ｍａｉｓｏｎ　ＨＡＫＯＳＨＩＭＡ,飲食店営業,主として喫茶,福,博保衛,33010049,2027/6/30,2021/4/26,2021/4/26
有限会社　ジェイハウス,810-0801,福岡市博多区中洲二丁目６番２３号,コウフクビル　２階　２０２号室,092-281-6535,ＢＡＲ　ＭＡＲＶＥＬＯＵＳ,飲食店営業,バー,福,博保衛,33010025,2027/6/30,2021/4/26,2021/4/26
株式会社　ホットランド,,福岡市内一円,,,築地銀だこ,飲食店営業,移動Ｂ,福,博保衛,33010085,2026/6/30,2021/4/26,2021/4/26
株式会社　ゴールド,812-0017,福岡市博多区美野島一丁目１３番９号,,,ＳＯＤＡＳＨＩ,飲食店営業,バー,福,博保衛,33010056,2027/6/30,2021/4/26,2021/4/26
株式会社　ゴールド,812-0018,福岡市博多区住吉五丁目５番１５号,住吉パークサイドビル　２Ｆ　２０３号,,ＪＡＮＧＬＩＮＧ,飲食店営業,バー,福,博保衛,33010055,2027/6/30,2021/4/26,2021/4/26
,810-0002,福岡市中央区西中洲１２番６号,,092-761-5221,酒房　野菊,飲食店営業,一般食堂,福,中保衛,33020013,2027/6/30,2021/4/26,2003/4/22
株式会社アンセストラルＫ,810-0021,福岡市中央区今泉二丁目５番１７号,,092-739-3393,Ｂａｒ　Ｖｉｔａ天神店,そうざい製造業,なし,福,中保衛,33580002,2027/6/30,2021/4/26,2015/5/29
